channel,distribution,creative,utm_source,utm_medium,utm_campaign,utm_content,full_url,qr_filename
naver_blog,organic,workbook,naver_blog,organic_content,career_direction_pilot_2026q3,workbook_blog,https://start.careerdirect.kr/career-check?utm_source=naver_blog&utm_medium=organic_content&utm_campaign=career_direction_pilot_2026q3&utm_content=workbook_blog,qr-naver_blog-organic-workbook.png
naver,paid,empathy_a,naver,cpc,career_direction_pilot_2026q3,empathy_feed_a,https://start.careerdirect.kr/career-check?utm_source=naver&utm_medium=cpc&utm_campaign=career_direction_pilot_2026q3&utm_content=empathy_feed_a,qr-naver-paid-empathy_a.png
naver,paid,typography_b,naver,cpc,career_direction_pilot_2026q3,typography_feed_b,https://start.careerdirect.kr/career-check?utm_source=naver&utm_medium=cpc&utm_campaign=career_direction_pilot_2026q3&utm_content=typography_feed_b,qr-naver-paid-typography_b.png
instagram,organic,empathy_a,instagram,organic_social,career_direction_pilot_2026q3,empathy_feed_a,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=empathy_feed_a,qr-instagram-organic-empathy_a.png
instagram,organic,typography_b,instagram,organic_social,career_direction_pilot_2026q3,typography_feed_b,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=typography_feed_b,qr-instagram-organic-typography_b.png
instagram,paid,empathy_a,instagram,paid_social,career_direction_pilot_2026q3,empathy_feed_a,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=paid_social&utm_campaign=career_direction_pilot_2026q3&utm_content=empathy_feed_a,qr-instagram-paid-empathy_a.png
instagram,paid,typography_b,instagram,paid_social,career_direction_pilot_2026q3,typography_feed_b,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=paid_social&utm_campaign=career_direction_pilot_2026q3&utm_content=typography_feed_b,qr-instagram-paid-typography_b.png
instagram,organic,empathy_story_a,instagram,organic_social,career_direction_pilot_2026q3,empathy_story_a,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=empathy_story_a,qr-instagram-organic-empathy_story_a.png
instagram,organic,typography_story_b,instagram,organic_social,career_direction_pilot_2026q3,typography_story_b,https://start.careerdirect.kr/career-check?utm_source=instagram&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=typography_story_b,qr-instagram-organic-typography_story_b.png
facebook,organic,empathy_a,facebook,organic_social,career_direction_pilot_2026q3,empathy_feed_a,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=empathy_feed_a,qr-facebook-organic-empathy_a.png
facebook,organic,typography_b,facebook,organic_social,career_direction_pilot_2026q3,typography_feed_b,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=typography_feed_b,qr-facebook-organic-typography_b.png
facebook,paid,empathy_a,facebook,paid_social,career_direction_pilot_2026q3,empathy_feed_a,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=paid_social&utm_campaign=career_direction_pilot_2026q3&utm_content=empathy_feed_a,qr-facebook-paid-empathy_a.png
facebook,paid,typography_b,facebook,paid_social,career_direction_pilot_2026q3,typography_feed_b,https://start.careerdirect.kr/career-check?utm_source=facebook&utm_medium=paid_social&utm_campaign=career_direction_pilot_2026q3&utm_content=typography_feed_b,qr-facebook-paid-typography_b.png
threads,organic,type_a,threads,organic_social,career_direction_pilot_2026q3,threads_type_a,https://start.careerdirect.kr/career-check?utm_source=threads&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=threads_type_a,qr-threads-organic-type_a.png
threads,organic,type_b,threads,organic_social,career_direction_pilot_2026q3,threads_type_b,https://start.careerdirect.kr/career-check?utm_source=threads&utm_medium=organic_social&utm_campaign=career_direction_pilot_2026q3&utm_content=threads_type_b,qr-threads-organic-type_b.png
church,partner,poster,church,partner_qr,career_direction_pilot_2026q3,faith_poster,https://start.careerdirect.kr/career-check?utm_source=church&utm_medium=partner_qr&utm_campaign=career_direction_pilot_2026q3&utm_content=faith_poster,qr-church-partner-poster.png
church,partner,mobile,church,partner_qr,career_direction_pilot_2026q3,faith_mobile,https://start.careerdirect.kr/career-check?utm_source=church&utm_medium=partner_qr&utm_campaign=career_direction_pilot_2026q3&utm_content=faith_mobile,qr-church-partner-mobile.png
university,partner,poster,university,partner_qr,career_direction_pilot_2026q3,university_poster,https://start.careerdirect.kr/career-check?utm_source=university&utm_medium=partner_qr&utm_campaign=career_direction_pilot_2026q3&utm_content=university_poster,qr-university-partner-poster.png
university,partner,mobile,university,partner_qr,career_direction_pilot_2026q3,university_mobile,https://start.careerdirect.kr/career-check?utm_source=university&utm_medium=partner_qr&utm_campaign=career_direction_pilot_2026q3&utm_content=university_mobile,qr-university-partner-mobile.png
